cum_n_games,season,competition,round,date,team,venue,opponent,result,goals,cum_goals,minutes_played
156,2022,Copa Chile,Quarter-Finals 1st leg,2023-08-17,Univ Católica,Home,Colo-Colo,D,0,96,90
157,2022,Copa Chile,Quarter-Finals 2nd leg,2023-08-20,Univ Católica,Away,Colo-Colo,L,0,96,90
158,2023,Primera División,Matchweek 22,2023-08-26,Univ Católica,Home,Ñublense,W,1,97,90
159,2023,Primera División,Matchweek 23,2023-08-31,Univ Católica,Away,Unión Española,D,1,98,90
160,2023,Primera División,Matchweek 25,2023-10-01,Univ Católica,Away,Colo-Colo,L,0,98,90
161,2023,Primera División,Matchweek 26,2023-10-07,Univ Católica,Away,O'Higgins,W,3,101,84
162,2023,Primera División,Matchweek 27,2023-11-11,Univ Católica,Home,U de Chile,L,0,101,90
163,2023,Primera División,Matchweek 28,2023-11-25,Univ Católica,Away,Huachipato,D,1,102,90
164,2023,Primera División,Matchweek 29,2023-12-02,Univ Católica,Home,Deportes Copiapó,D,0,102,90
165,2024,Primera División,Matchweek 2,2024-02-23,Univ Católica,Home,Ñublense,L,0,102,38
166,2024,Primera División,Matchweek 3,2024-03-02,Univ Católica,Away,Palestino,W,1,103,90
167,2024,Sudamericana,First stage,2024-03-05,Univ Católica,Home,Coquimbo Unido,L,0,103,90
168,2024,Primera División,Matchweek 4,2024-03-11,Univ Católica,Home,Everton,L,0,103,90
169,2024,Primera División,Matchweek 5,2024-03-17,Univ Católica,Home,Audax Italiano,D,0,103,90
170,2024,Primera División,Matchweek 1,2024-03-22,Univ Católica,Away,La Calera,D,0,103,90
171,2024,Primera División,Matchweek 6,2024-03-30,Univ Católica,Away,Huachipato,D,0,103,90
172,2024,Primera División,Matchweek 7,2024-04-06,Univ Católica,Home,Cobresal,W,1,104,69
173,2024,Primera División,Matchweek 8,2024-04-13,Univ Católica,Away,Iquique,W,1,105,72
174,2024,Primera División,Matchweek 9,2024-04-20,Univ Católica,Home,Colo-Colo,L,0,105,90
175,2024,Primera División,Matchweek 10,2024-04-27,Univ Católica,Away,Deportes Copiapó,W,0,105,33
176,2024,Primera División,Matchweek 11,2024-05-04,Univ Católica,Away,Unión Española,W,1,106,90
177,2024,Primera División,Matchweek 12,2024-05-11,Univ Católica,Home,O'Higgins,W,2,108,90
178,2024,Primera División,Matchweek 13,2024-05-18,Univ Católica,Away,U de Chile,W,1,109,89
